Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
091-749-015-918-056,Driving health system change in childhood cancer service delivery through multi-stakeholder engagement at state level – The Odisha experience,,2025,journal article,Pediatric Hematology Oncology Journal,24681245,Elsevier BV,,Shivani Chauhan; Nitai Panigrahi; Saroj Panda; Rohini Pandey; Amarabati Mishra; Archisman Mohapatra; Ashwani Kumar Darjee; Haresh Gupta; Keshav Sharma; Madhulita Patnaik; Nabarun Panda; Nirmalya Deo Pradhan; Palash Das; Poonam Bagai; Prasanta Kumar Palatasingh; Sonali Mohapatra; Ramandeep Arora,,10,4,100663,100663,,,,,,,http://dx.doi.org/10.1016/j.phoj.2025.100663,,10.1016/j.phoj.2025.100663,,,0,,0,true,"CC BY, CC BY-NC-ND",gold
091-829-387-561-705,Introduction of Tochigi Cancer Biobank established with the aim of developing novel diagnostic and therapeutic methods for cancer,,2022,journal article,Electrophoresis Letters,21892628; 21892636,Japanese Electrophoresis Society,,Kazutaka Kikuta; Tadashi Kondo; Yuki Yoshimatsu; Hiroyasu Nakatani; Rina Sasaki; Kimiko Nakano; Yusuke Yoshida; Iwao Ozawa,"Tochigi Cancer Center, which was established in 1986, has been providing medical care for many cancer patients as a prefectural cancer hospital. The importance of building biobanks and databases is increasing in order to respond to the rapid changes and development of cancer diagnosis and treatment accompanying recent scientific and technological innovations. By utilizing biobanks and databases, it is possible to select the optimal treatment for each individual case based on molecular information and to obtain universal information that cannot be obtained from a small number of cases such as rare cancers. It will also be possible to conduct research on refractory and rare cancers. Tochigi Cancer Center opened Tochigi Cancer Biobank in April 2021 to prepare for tests using patient tissues such as cancer genomic medicine, and to promote translational research to develop novel treatment strategy on refractory and rare cancers. We will introduce the purpose and features of Tochigi Cancer biobank.",66,1,27,30,Biobank; Cancer; Medicine; Translational research; Cancer treatment; Bioinformatics; Pathology; Internal medicine; Biology,rare cancer; refractory cancer; biobank; cancer genomic medicine; translational research,,,,https://www.jstage.jst.go.jp/article/electroph/66/1/66_27/_pdf https://doi.org/10.2198/electroph.66.27,http://dx.doi.org/10.2198/electroph.66.27,,10.2198/electroph.66.27,,,0,015-873-551-147-226; 020-807-997-016-875; 025-347-372-776-847; 029-695-266-299-14X; 041-730-865-461-749; 053-379-410-547-722,0,true,,gold
091-853-256-665-037,Cost Utility Analysis of National Cancer Screening Program for Gastric Cancer in Korea: A Markov Model Analysis,2023-01-01,2023,preprint,,,Elsevier BV,,Seowoo Bae; Hyewon Lee; Eun Young Her; Kyeongmin Lee; Joon Sung Kim; Jeonghoon Ahn; Il Ju Choi; Jae Kwan Jun; Mina Suh; Kui Son Choi,,,,,,Medicine; Cancer; Sedation; Cancer screening; Internal medicine; Endoscopy; Surgery,,,,,,http://dx.doi.org/10.2139/ssrn.4417961,,10.2139/ssrn.4417961,,,0,,0,true,,green
092-434-363-477-496,Retraction: Insulin-like Growth Factor-1 Induces Adhesion and Migration in Human Multiple Myeloma Cells via Activation of β1-Integrin and Phosphatidylinositol 3'-Kinase/AKT Signaling.,2024-03-15,2024,journal article,Cancer research,15387445; 00085472,American Association for Cancer Research (AACR),United States,Yu-Tzu Tai; Klaus Podar; Laurence Catley; Yu-Hua Tseng; Masaharu Akiyama; Reshma Shringarpure; Renate Burger; Teru Hideshima; Dharminder Chauhan; Nicholas Mitsiades; Paul Richardson; Nikhil C Munshi; C Ronald Kahn; Constantine Mitsiades; Kenneth C Anderson,There are concerns about the reliability of certain data arising from errors,84,6,938,938,Protein kinase B; Phosphatidylinositol; Cell biology; Insulin-like growth factor; Cancer research; PI3K/AKT/mTOR pathway; Integrin; Growth factor; Kinase; Adhesion; Signal transduction; Chemistry; Biology; Biochemistry; Cell; Receptor; Organic chemistry,,,,,https://aacrjournals.org/cancerres/article-pdf/84/6/938/3439648/938.pdf http://dx.doi.org/10.1158/0008-5472.can-24-0519,http://dx.doi.org/10.1158/0008-5472.can-24-0519,38486484,10.1158/0008-5472.can-24-0519,,,0,,0,true,,bronze
093-879-678-220-044,ISS1-1-2The significance of EGFR pathway mutations for the efficacy of bevacizumab in metastatic colorectal cancer,,2015,journal article,Annals of Oncology,09237534; 15698041,Elsevier BV,United Kingdom,Izuma Nakayama; Shinozaki Eiji; Wakatsuki Takeru; Ogura Mariko; Ichimura Takashi; Takahari Daisuke; Ozaka Masato; Suenaga Mitsukuni; Chin Keisho; Mizunuma Nobuyuki,"Background: After analysis of minor RAS mutations (KRAS exon 3, 4/NRAS) in FIRE-3 or PRIME study, so called all RAS mutation would be being regarded as a biomarker for anti-EGFR antibodies. BRAF and PIK3CA mutation would be a candidate of biomarkers for anti EGFR targeted therapies. However it remains unknown whether EGFR pathway mutations affect the efficacy of bevacizumab in Stage4 CRC.",26,,vii72,,Internal medicine; Oncology; Bevacizumab; Egfr signaling; Cancer research; Colorectal cancer; Medicine,,,,,https://www.annalsofoncology.org/article/S0923-7534(19)46831-2/fulltext,http://dx.doi.org/10.1093/annonc/mdv464.02,,10.1093/annonc/mdv464.02,2560928364,,0,,0,true,elsevier-specific: oa user license,unknown
094-275-230-888-539,Molecular Chaperones,2015-10-16,2015,book chapter,Encyclopedia of Cancer,,Springer Berlin Heidelberg,,Marissa V. Powers; Paul Workman,,,,1,5,Computational biology; Biology,,,,,,http://dx.doi.org/10.1007/978-3-642-27841-9_3810-2,,10.1007/978-3-642-27841-9_3810-2,,,0,017-388-698-738-462; 024-118-621-592-657; 035-628-382-351-811; 038-782-518-157-319; 040-071-991-569-467,0,false,,
094-430-909-047-813,The efficacy of oxaliplatin-based adjuvant chemotherapy for stage IV colorectal cancer after R0 resection.,2014-01-20,2014,journal article,Journal of Clinical Oncology,0732183x; 15277755,American Society of Clinical Oncology (ASCO),United States,Izuma Nakayama; Mitsukuni Suenaga; Takeru Wakatsuki; Mariko Ogura; Masato Ozaka; Eiji Shinozaki; Satoshi Matsusaka; Keisho Chin; Nobuyuki Mizunuma; Toshiharu Yamaguchi,"638 Background: In previous phase III studies (MOSAIC and XELOXA trial), oxaliplatin based chemotherapy was shown to be a standard adjuvant treatment for stage III colorectal cancer (CRC). However,...",32,3_suppl,638,638,Internal medicine; Oncology; Chemotherapy; Adjuvant; Oxaliplatin; Stage III colorectal cancer; Stage IV Colorectal Cancer; Adjuvant chemotherapy; R0 resection; Medicine,,,,,https://ascopubs.org/doi/abs/10.1200/jco.2014.32.3_suppl.638,http://dx.doi.org/10.1200/jco.2014.32.3_suppl.638,,10.1200/jco.2014.32.3_suppl.638,2589850939,,0,,0,false,,
094-503-157-215-347,Correction: LncRNA-MM2P Identified as a Modulator of Macrophage M2 Polarization.,2024-02-02,2024,journal article,Cancer immunology research,23266074; 23266066,American Association for Cancer Research (AACR),United States,Ji Cao; Rong Dong; Li Jiang; Yanling Gong; Meng Yuan; Jieqiong You; Wen Meng; Zhanlei Chen; Ning Zhang; Qinjie Weng; Hong Zhu; Qiaojun He; Meidan Ying; Bo Yang,"In the original version of this article (1), the incorrect panel for Fig. 4A, “IL4-siCtrl” was included in the figure. The correct figure appears below. The authors note that the change showed no influence to the reported data. The authors apologize for any inconvenience caused.",12,2,275,275,Macrophage polarization; Psychology; Medicine; Information retrieval; Computer science; Biology; Macrophage; Genetics; In vitro,,,,,https://aacrjournals.org/cancerimmunolres/article-pdf/12/2/275/3410758/275.pdf https://doi.org/10.1158/2326-6066.cir-23-0983,http://dx.doi.org/10.1158/2326-6066.cir-23-0983,38303655,10.1158/2326-6066.cir-23-0983,,,0,016-681-593-375-956,1,true,,bronze
094-548-568-166-470,Metastasis,2007-11-04,2007,book chapter,"Apoptosis, Cell Signaling, and Human Diseases",,Humana Press,,Christine E. Horak; Julie L. Bronder; Amina Bouadis; Patricia S. Steeg,"Metastasis, the spread of tumor cells from the primary site of growth to a secondary site, is the leading cause of cancer related deaths. The process of metastasis can be conceptually broken down into a series of sequential steps: acquisition of an invasive phenotype, intravasation, travel through the circulatory system, arrest at a secondary site, and extravasation and colonization at that site. The metastatic cell must be able to escape cell death at several steps in this process. Thus, it is not surprising that metastatic cells can be molecularly characterized by altered expression of several apoptosis genes and altered signaling through cell survival and death pathways. In addition, this same acquired resistance to cell death that has allowed metastatic cells to survive and colonize in a secondary organ has also permitted resistance to courses of chemotherapy. Herein, we describe the aberrant apoptotic signaling that metastatic cells have evolved, how this aberrant signaling impedes traditional chemotherapeutic approaches that induce cell death, and potential therapeutic approaches to overcome apoptotic resistance of metastasis.",,,63,96,Intravasation; Metastasis; Extravasation; Programmed cell death; Apoptosis; Cancer research; Cancer cell; Biology; Cell; Cancer; Immunology; Genetics,,,,,,http://dx.doi.org/10.1007/978-1-59745-200-7_3,,10.1007/978-1-59745-200-7_3,,,0,000-345-462-561-640; 000-978-815-660-231; 001-365-700-998-501; 001-663-917-395-758; 002-795-860-955-435; 002-979-120-109-491; 004-777-257-845-77X; 005-147-063-272-379; 005-557-456-537-675; 006-089-338-822-725; 006-881-051-572-668; 007-354-198-258-448; 007-947-876-952-951; 009-280-293-774-583; 009-468-625-446-717; 009-989-256-380-903; 010-664-429-495-259; 011-615-109-652-804; 011-876-948-082-481; 012-579-595-296-788; 013-356-183-076-656; 014-001-765-357-857; 014-340-975-211-094; 015-109-699-356-012; 016-457-567-194-776; 016-495-497-197-230; 016-578-582-870-710; 020-494-997-449-772; 021-300-841-163-581; 021-983-498-058-228; 022-222-698-982-693; 023-273-083-839-504; 024-617-267-484-245; 025-424-442-220-665; 025-537-909-847-260; 026-479-177-195-554; 028-507-602-908-42X; 028-828-273-734-314; 029-237-995-739-872; 030-278-835-211-08X; 030-513-125-519-503; 030-647-373-330-885; 030-800-819-329-650; 032-902-070-353-316; 035-157-379-576-683; 035-195-808-350-330; 035-918-511-917-355; 035-971-686-210-485; 037-159-702-171-830; 037-353-967-018-267; 038-643-760-541-028; 039-376-070-403-51X; 039-450-777-151-347; 039-730-722-903-624; 041-821-693-269-139; 042-043-437-583-434; 042-279-341-016-014; 044-383-060-244-03X; 045-024-321-736-633; 045-483-502-460-595; 045-651-932-765-583; 046-395-336-305-595; 046-556-592-801-955; 047-976-178-117-426; 048-130-290-045-538; 049-118-801-280-009; 049-992-826-479-701; 051-290-816-491-841; 051-753-273-105-227; 052-830-413-644-381; 054-986-397-782-023; 055-205-894-942-309; 057-770-852-536-243; 057-888-007-576-84X; 058-047-790-501-750; 058-582-485-573-816; 059-407-087-933-28X; 059-823-936-888-106; 060-490-391-311-94X; 061-057-517-991-178; 062-408-203-625-245; 063-777-634-888-725; 064-334-287-270-691; 064-387-180-535-513; 064-412-858-745-728; 064-664-400-391-64X; 065-676-098-163-295; 067-409-095-032-173; 068-043-048-129-442; 068-090-659-257-12X; 068-508-146-310-840; 071-438-406-225-130; 076-120-864-783-625; 079-494-747-374-705; 079-810-300-959-426; 082-003-205-497-574; 083-456-166-350-876; 083-507-996-676-362; 084-085-138-348-898; 086-797-715-725-98X; 088-316-250-264-054; 088-885-313-553-188; 092-101-111-781-074; 093-525-630-327-223; 095-049-165-802-460; 097-499-357-632-890; 098-595-556-661-770; 099-944-657-269-611; 100-894-104-609-840; 101-388-549-373-265; 105-821-217-907-849; 106-380-917-386-015; 107-086-793-455-048; 107-857-966-854-26X; 109-781-384-044-421; 111-861-011-757-359; 116-398-902-554-344; 120-474-868-075-230; 125-928-942-999-42X; 126-354-298-442-028; 128-510-535-956-335; 130-263-130-021-853; 156-897-781-306-439,2,false,,
094-550-464-640-687,"Cancer Statistics in Korea: Incidence, Mortality, Survival, and Prevalence in 2013.",2016-03-03,2016,journal article,Cancer research and treatment,20059256; 15982998,Korean Cancer Association,South Korea,Chang-Mo Oh; Young-Joo Won; Kyu-Won Jung; Hyun Joo Kong; Hyunsoon Cho; Jong-Keun Lee; Duk Hyoung Lee; Kang Hyun Lee,"Purpose:; This study described the 2013 nationwide cancer statistics in Korea, including cancer incidence, survival, prevalence, and mortality.",48,2,436,450,Demography; Cancer incidence; Cancer death; Mortality survival; Incidence (epidemiology); Medicine,Incidence; Korea; Mortality; Neoplasms; Prevalence; Survival,Age Distribution; Humans; Incidence; Neoplasms/epidemiology; Prevalence; Republic of Korea/epidemiology; Survival Rate,,National Cancer Center,https://www.e-crt.org/journal/view.php?doi=10.4143/crt.2016.089 https://www.mendeley.com/catalogue/b188e234-1bd1-3ae1-abf4-3279f969f3c7/ http://www.e-crt.org/upload/pdf/crt-2016-089.pdf https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002099139 http://www.ncbi.nlm.nih.gov/pubmed/26987395 https://www.ncbi.nlm.nih.gov/pubmed/26987395 http://dspace.kci.go.kr/handle/kci/1348392 http://europepmc.org/articles/PMC4843732 https://e-sciencecentral.org/articles/SC000014575 https://komci.org/CedRefFull.php?ArticleID=0036CRT%2F2016.48.2.436 https://www.ncbi.nlm.nih.gov/pmc/articles/4843732/ https://doi.org/10.4143%2Fcrt.2016.089 https://pubmed.ncbi.nlm.nih.gov/26987395/,http://dx.doi.org/10.4143/crt.2016.089,26987395,10.4143/crt.2016.089,2917143035,PMC4843732,0,000-709-838-367-366; 019-444-445-469-002; 019-970-623-390-197; 027-644-998-793-730; 057-163-434-652-386; 136-424-513-860-227,308,true,cc-by-nc,gold
094-902-483-308-926,AI-Driven Spatial Transcriptomics Unlocks Large-Scale Breast Cancer Biomarker Discovery from Histopathology,2024-10-18,2024,preprint,,,openRxiv,,Eldad D. Shulman; Emma M. Campagnolo; Roshan Lodha; Amos Stemmer; Thomas Cantore; Beibei Ru; Tian-Gen Chang; Sumona Biswas; Saugato Rahman Dhruba; Andrew Wang; Rohit Paul; Sarath Kalisetty; Tom Hu; Maclean Nasrallah; Sheila Rajagopal; Stephen-John Sammut; Stanley Lipkowitz; Peng Jiang; Carlos Caldas; Simon Knott; Danh-Tai Hoang; Kenneth Aldape; Eytan Ruppin,"<jats:title>Abstract</jats:title>;                 <jats:p>;                   Spatial transcriptomics (ST) is transforming our understanding of tumor heterogeneity by enabling high-resolution, location-specific mapping of gene expression across tumors and their microenvironment. However, the associated high cost of the assay has limited cohort size and hence large-scale biomarker discovery. Here we present;                   <jats:italic>Path2Space</jats:italic>;                   , a deep learning approach that predicts spatial gene expression directly from histopathology slides. Trained on substantial breast cancer ST data, it robustly predicts the spatial expression of over 4,300 genes in independent validations, markedly outperforming existing ST predictors.;                   <jats:italic>Path2Space</jats:italic>;                   additionally accurately infers cell-type abundances in the tumor microenvironment (TME) based on the inferred ST data. Applied to more than a thousand breast tumor histopathology slides from the TCGA,;                   <jats:italic>Path2Space</jats:italic>;                   characterizes their TME on an unprecedented scale and identifies three new spatially-grounded breast cancer subgroups with distinct survival rates.;                   <jats:italic>Path2Space</jats:italic>;                   -inferred TME landscapes enable more accurate predictions of patients’ response to chemotherapy and trastuzumab directly from H&amp;E slides than those obtained by existing established sequencing-based biomarkers.;                   <jats:italic>Path2Space</jats:italic>;                   thus offers a transformative, fast and cost-effective approach to robustly delineate the TME directly from their histopathology slides, facilitating the development of spatially-grounded biomarkers to advance precision oncology.;                 </jats:p>",,,,,Biomarker discovery; Biomarker; Transcriptome; Histopathology; Computational biology; Cancer; Computer science; Artificial intelligence; Biology; Medicine; Pathology; Internal medicine; Gene; Proteomics; Genetics; Gene expression,,,,,https://www.biorxiv.org/content/biorxiv/early/2024/10/18/2024.10.16.618609.full.pdf https://doi.org/10.1101/2024.10.16.618609,http://dx.doi.org/10.1101/2024.10.16.618609,,10.1101/2024.10.16.618609,,,0,000-712-273-781-267; 004-410-777-415-502; 005-365-644-143-933; 005-594-794-374-082; 007-804-948-699-169; 008-223-386-676-854; 010-802-999-479-958; 011-824-494-104-177; 013-742-087-776-842; 014-810-797-540-525; 015-169-437-331-311; 015-280-215-591-21X; 016-656-893-354-60X; 017-291-823-135-054; 018-568-632-816-530; 019-462-193-904-088; 022-678-839-954-692; 023-255-255-736-984; 023-586-371-878-126; 023-676-814-983-515; 025-081-101-269-59X; 025-600-573-434-073; 027-142-062-774-540; 029-103-493-263-129; 032-721-977-468-709; 036-577-483-622-093; 036-933-730-278-698; 037-151-258-206-470; 038-417-079-050-986; 039-552-828-251-784; 040-536-876-358-477; 042-207-205-871-320; 046-680-045-202-601; 055-386-225-196-893; 056-805-925-749-268; 061-143-159-402-628; 065-428-900-674-234; 067-382-356-300-264; 068-721-465-962-849; 070-341-950-088-291; 071-549-734-690-930; 074-941-763-802-896; 080-448-342-050-444; 087-929-105-291-684; 088-045-686-378-317; 092-197-413-890-187; 093-987-650-865-463; 096-784-847-843-865; 101-291-704-207-929; 107-491-486-094-691; 108-298-116-795-433; 109-009-166-646-64X; 112-677-167-797-273; 115-173-098-683-829; 116-892-100-877-700; 118-118-207-670-689; 122-400-782-712-471; 130-477-751-580-053; 139-433-832-624-68X; 140-482-356-572-255; 141-732-320-815-150; 150-921-813-050-853; 159-023-751-210-622; 169-499-749-877-555; 179-120-531-874-638; 198-244-348-349-847; 198-904-751-627-860,9,true,,gold
095-245-827-405-375,"2823P Hetrombopag for cancer therapy-induced thrombocytopenia in patients with breast cancer: A multicenter, prospective exploratory trial",,2025,journal article,Annals of Oncology,09237534; 15698041,Elsevier BV,United Kingdom,H.H. Sun; H. Lv; W. Chen; Y. Zhao; M. Zhang; L. Niu; Z. Liu; X. Guo; C.X. Chun; Y. Feng; L. Wang; H-A. Zeng; J. Wang; Y. Cui; M. Yan,,36,,S1398,S1399,Medicine; Internal medicine; Oncology; Cancer; Prospective cohort study; Breast cancer; Clinical trial; Romiplostim; MEDLINE; Gynecology; Chemotherapy; Exploratory analysis,,,,,,http://dx.doi.org/10.1016/j.annonc.2025.08.3435,,10.1016/j.annonc.2025.08.3435,,,0,,0,false,,
095-291-637-803-310,"Effect of logotherapy treatment alone or in combination with yoga on anxiety, depression, and happiness after breast cancer: A clinical Trial",2023-12-01,2023,journal article,Journal of Breast Disease,10170707,Apex Publishing,,Akram Sajadian; Akram Motaharinasab; leyla heydari; Donia Farokhi; Shahpar Haghighat; Elahe Hashemi,"Effect of logotherapy treatment alone or in combination with yoga on anxiety, depression, and happiness after breast cancer: A clinical Trial",16,4,34,49,Logotherapy; Breast cancer; Anxiety; Happiness; Depression (economics); Psychotherapist; Clinical psychology; Psychology; Medicine; Cancer; Clinical trial; Oncology; Internal medicine; Psychiatry; Meaning (existential); Economics; Macroeconomics,,,,,http://ijbd.ir/files/site1/user_files_395953/sajadian-A-10-48-10-fbc6236.pdf https://doi.org/10.61186/ijbd.16.4.34,http://dx.doi.org/10.61186/ijbd.16.4.34,,10.61186/ijbd.16.4.34,,,0,002-444-195-170-974; 003-534-182-935-769; 007-250-069-544-548; 008-672-820-203-392; 009-530-313-192-425; 013-885-619-999-122; 014-934-740-306-150; 016-672-987-462-88X; 028-811-685-363-184; 032-823-256-573-338; 032-878-101-955-209; 033-919-291-143-328; 046-348-227-739-923; 049-498-143-240-538; 052-148-615-997-351; 055-080-202-984-473; 059-064-064-042-933; 063-812-372-122-64X; 070-054-443-062-036; 072-219-252-458-375; 083-957-442-794-664; 084-001-292-860-346; 095-459-550-307-783; 098-940-413-360-801; 099-930-842-674-048; 115-857-387-425-276; 122-020-038-164-951; 129-214-341-472-025; 129-386-809-259-491; 134-199-160-690-742; 136-411-603-577-000; 136-797-334-895-610; 136-891-286-142-673; 143-390-262-731-914; 176-589-881-236-467,1,true,cc-by-nc,hybrid
095-737-343-551-086,Correction: Translational and Therapeutic Evaluation of RAS-GTP Inhibition by RMC-6236 in RAS-Driven Cancers.,2025-10-06,2025,journal article,Cancer discovery,21598290; 21598274,American Association for Cancer Research (AACR),United States,Jingjing Jiang; Lingyan Jiang; Benjamin J Maldonato; Yingyun Wang; Matthew Holderfield; Ida Aronchik; Ian P Winters; Zeena Salman; Cristina Blaj; Marie Menard; Jens Brodbeck; Zhe Chen; Xing Wei; Michael J Rosen; Yevgeniy Gindin; Bianca J Lee; James W Evans; Stephanie Chang; Zhican Wang; Kyle J Seamon; Dylan Parsons; James Cregg; Abby Marquez; Aidan C A Tomlinson; Jason K Yano; John E Knox; Elsa Quintana; Andrew J Aguirre; Kathryn C Arbour; Abby Reed; W Clay Gustafson; Adrian L Gill; Elena S Koltun; David Wildes; Jacqueline A M Smith; Zhengping Wang; Mallika Singh,,15,10,2186,2186,,,,,,https://aacrjournals.org/cancerdiscovery/article-pdf/15/10/2186/3655815/cd-25-1519.pdf https://doi.org/10.1158/2159-8290.cd-25-1519,http://dx.doi.org/10.1158/2159-8290.cd-25-1519,41047845,10.1158/2159-8290.cd-25-1519,,PMC12498095,0,175-224-080-683-322,0,true,cc-by,hybrid
096-065-028-685-532,Venetoclax use in Patient with Ataxia Telangiectasia and Early-T-Cell Precursor Acute Lymphoblastic Leukemia,2024-06-25,2024,preprint,,,Wiley,,Shaikha Alqahtani; Ramya Ramakrishnan; Shuyu E; Sa Wang; Cesar Nunez; David McCall; Miriam B. Garcia; Michael Roth; Branko Cuglievan; Amber Gibson,"Venetoclax use in Patient with Ataxia Telangiectasia and Early-T-Cell Precursor Acute Lymphoblastic LeukemiaShaikha Alqahtani1, Ramya Ramakrishnan1, Shuyu E2 , Sa A. Wang2, Cesar Nunez1, David McCall1, Miriam B., Garcia1, Michael E. Roth1, Branko Cugl",,,,,Ataxia-telangiectasia; Lymphoblastic Leukemia; Venetoclax; Medicine; Ataxia; Cancer research; Leukemia; Immunology; Psychiatry; Genetics; Biology; Chronic lymphocytic leukemia; DNA; DNA damage,,,,,https://www.authorea.com/doi/pdf/10.22541/au.171928362.20295634/v1 https://doi.org/10.22541/au.171928362.20295634/v1,http://dx.doi.org/10.22541/au.171928362.20295634/v1,,10.22541/au.171928362.20295634/v1,,,0,,0,true,,gold
096-198-857-525-957,Correction: Clinical Efficacy of ONC201 in H3K27M-Mutant Diffuse Midline Gliomas Is Driven by Disruption of Integrated Metabolic and Epigenetic Pathways.,2025-03-03,2025,journal article,Cancer discovery,21598290; 21598274,American Association for Cancer Research (AACR),United States,Sriram Venneti; Abed Rahman Kawakibi; Sunjong Ji; Sebastian M Waszak; Stefan R Sweha; Mateus Mota; Matthew Pun; Akash Deogharkar; Chan Chung; Rohinton S Tarapore; Samuel Ramage; Andrew Chi; Patrick Y Wen; Isabel Arrillaga-Romany; Tracy T Batchelor; Nicholas A Butowski; Ashley Sumrall; Nicole Shonka; Rebecca A Harrison; John de Groot; Minesh Mehta; Matthew D Hall; Doured Daghistani; Timothy F Cloughesy; Benjamin M Ellingson; Kevin Beccaria; Pascale Varlet; Michelle M Kim; Yoshie Umemura; Hugh Garton; Andrea Franson; Jonathan Schwartz; Rajan Jain; Maureen Kachman; Heidi Baum; Charles F Burant; Sophie L Mottl; Rodrigo T Cartaxo; Vishal John; Dana Messinger; Tingting Qin; Erik Peterson; Peter Sajjakulnukit; Karthik Ravi; Alyssa Waugh; Dustin Walling; Yujie Ding; Ziyun Xia; Anna Schwendeman; Debra Hawes; Fusheng Yang; Alexander R Judkins; Daniel Wahl; Costas A Lyssiotis; Daniel de la Nava; Marta M Alonso; Augustine Eze; Jasper Spitzer; Susanne V Schmidt; Ryan J Duchatel; Matthew D Dun; Jason E Cain; Li Jiang; Sylwia A Stopka; Gerard Baquer; Michael S Regan; Mariella G Filbin; Nathalie Y R Agar; Lili Zhao; Chandan Kumar-Sinha; Rajen Mody; Arul Chinnaiyan; Ryo Kurokawa; Drew Pratt; Viveka N Yadav; Jacques Grill; Cassie Kline; Sabine Mueller; Adam Resnick; Javad Nazarian; Joshua E Allen; Yazmin Odia; Sharon L Gardner; Carl Koschmann,"H3K27M-mutant diffuse midline glioma (DMG) patients have no proven effective therapies. ONC201 has recently demonstrated efficacy in these patients, but the mechanism behind this remains unknown. We assessed clinical outcomes, tumor sequencing, and tissue/CSF correlate samples from patients treated in two completed multi-site clinical studies. Patients treated with ONC201 following initial radiation but prior to recurrence demonstrated a median overall survival of 21.7 months, while those treated after recurrence had a median overall survival of 9.3 months. Radiographic response was associated with increased expression of key tricarboxylic acid cycle-related genes in baseline tumor sequencing. ONC201 treatment increased 2-hydroxyglutarate levels in cultured H3K27M-DMG cells and patient CSF samples. This corresponded with increases in repressive H3K27me3 in vitro and in human tumors accompanied by epigenetic downregulation of cell cycle regulation and neuro-glial differentiation genes. Overall, ONC201 demonstrates efficacy in H3K27M-DMG by disrupting integrated metabolic and epigenetic pathways and reversing pathognomonic H3K27me3 reduction.",15,3,657,657,Epigenetics; Mutant; Biology; Cancer research; Computational biology; Metabolic pathway; Cell biology; Bioinformatics; Genetics; Gene,,,,NIGMS NIH HHS (T32 GM007863) United States,https://aacrjournals.org/cancerdiscovery/article-pdf/15/3/657/3547405/cd-25-0208.pdf https://doi.org/10.1158/2159-8290.cd-25-0208,http://dx.doi.org/10.1158/2159-8290.cd-25-0208,40025951,10.1158/2159-8290.cd-25-0208,,PMC11873718,0,183-335-939-628-679,0,true,cc-by,hybrid
096-854-341-890-438,Targeting PAK1 suppresses tumor progression by promoting mRNA decay of oncogenic factors and enhancing chemotherapeutic efficacy in colorectal cancer.,2025-05-11,2025,journal article,Genes & diseases,23523042; 23524820,Elsevier BV,Netherlands,Rongtian Pan; Renrui Zou; Ying Sui; Fei Wu; Dongfeng Wang; Yuan Zhang; Shaorong Yu,"P21-activated kinase 1 (PAK1) plays an oncogenic role in colorectal cancer (CRC). However, the role of PAK1 in CRC progression remains incompletely understood. Here, we showed that PAK1 enhanced the mRNA stability of multiple oncogenic factors. We found that PAK1 promoted CRC initiation and progression as previously reported. Mechanistically, loss of PAK1 promoted mRNA decay and inhibited the expression of CD44, SAA1, MTOR, RPS6KB1, and EIF4G1, the factors involved in tumorigenesis in many cancers. Importantly, our results revealed that the PAK1 inhibitor, PF3758309, exhibited a profound synergistic effect with oxaliplatin in CRC. Collectively, our study unveils a novel function of PAK1 in CRC progression. Thus, these results highlight the potential of targeting PAK1 as a therapeutic strategy in CRC, particularly in combination with oxaliplatin.",13,2,101683,101683,Colorectal cancer; Cancer research; PAK1; Cancer; Messenger RNA; Tumor progression; Medicine; Biology; Internal medicine; Gene; Signal transduction; Genetics,CRC; Oxaliplatin; PAK1; PF3758309; mRNA decay,,,Natural Science Foundation of Jiangsu Province; Jiangsu Provincial Key Research and Development Program; Jiangsu Cancer Hospital; National Natural Science Foundation of China; National Natural Science Foundation of China,,http://dx.doi.org/10.1016/j.gendis.2025.101683,41459112,10.1016/j.gendis.2025.101683,,PMC12741398,0,000-099-792-743-630; 000-255-598-619-697; 003-442-953-941-975; 003-567-160-983-12X; 005-417-769-689-544; 006-645-583-706-394; 006-967-194-873-983; 011-705-339-694-056; 012-007-215-025-852; 017-903-563-435-441; 020-448-807-199-50X; 023-906-569-618-709; 025-066-271-242-298; 026-041-205-102-831; 029-376-502-885-151; 031-938-098-341-200; 033-943-099-334-300; 049-226-357-867-724; 049-452-380-749-596; 055-523-961-863-744; 056-992-349-867-237; 064-673-589-742-574; 065-058-473-854-664; 065-576-030-387-438; 085-948-245-148-194; 090-329-686-486-955; 097-856-158-966-380; 099-661-557-230-920; 124-802-355-464-105; 126-241-478-693-288; 137-121-828-906-400,1,true,"CC BY, CC BY-NC-ND",gold
